Track 2: Piano left
MetaMessage('track_name', name='Piano left', time=0)
note_on channel=0 note=52 velocity=33 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=33 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=40 velocity=40 time=360
control_change channel=0 control=64 value=0 time=19
control_change channel=0 control=64 value=127 time=38
note_on channel=0 note=40 velocity=0 time=63
note_on channel=0 note=52 velocity=33 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=56 velocity=34 time=0
note_on channel=0 note=56 velocity=0 time=120
note_on channel=0 note=45 velocity=38 time=360
control_change channel=0 control=64 value=0 time=6
control_change channel=0 control=64 value=127 time=45
note_on channel=0 note=45 velocity=0 time=69
note_on channel=0 note=52 velocity=35 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=35 time=0
note_on channel=0 note=57 velocity=0 time=120
control_change channel=0 control=64 value=0 time=34
note_on channel=0 note=45 velocity=38 time=1046
control_change channel=0 control=64 value=127 time=57
note_on channel=0 note=45 velocity=0 time=63
note_on channel=0 note=52 velocity=35 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=34 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=40 velocity=38 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=40 velocity=0 time=51
note_on channel=0 note=52 velocity=37 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=56 velocity=37 time=0
note_on channel=0 note=56 velocity=0 time=120
note_on channel=0 note=45 velocity=38 time=360
control_change channel=0 control=64 value=0 time=18
control_change channel=0 control=64 value=127 time=38
note_on channel=0 note=45 velocity=0 time=64
note_on channel=0 note=52 velocity=32 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=32 time=0
note_on channel=0 note=57 velocity=0 time=120
control_change channel=0 control=64 value=0 time=23
note_on channel=0 note=48 velocity=44 time=337
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=48 velocity=0 time=51
note_on channel=0 note=55 velocity=38 time=0
note_on channel=0 note=55 velocity=0 time=120
note_on channel=0 note=60 velocity=39 time=0
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=43 velocity=44 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=43 velocity=0 time=51
note_on channel=0 note=55 velocity=38 time=0
note_on channel=0 note=55 velocity=0 time=120
note_on channel=0 note=59 velocity=39 time=0
note_on channel=0 note=59 velocity=0 time=120
note_on channel=0 note=45 velocity=44 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=45 velocity=0 time=51
note_on channel=0 note=52 velocity=38 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=39 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=40 velocity=44 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=40 velocity=0 time=51
note_on channel=0 note=52 velocity=38 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=64 velocity=39 time=0
note_on channel=0 note=64 velocity=0 time=90
note_on channel=0 note=64 velocity=39 time=270
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=76 velocity=44 time=0
note_on channel=0 note=76 velocity=0 time=90
control_change channel=0 control=64 value=0 time=228
note_on channel=0 note=75 velocity=42 time=42
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=50 time=0
note_on channel=0 note=76 velocity=0 time=90
note_on channel=0 note=75 velocity=39 time=270
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=41 time=0
note_on channel=0 note=76 velocity=0 time=90
note_on channel=0 note=45 velocity=34 time=1110
control_change channel=0 control=64 value=127 time=50
note_on channel=0 note=45 velocity=0 time=70
note_on channel=0 note=52 velocity=32 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=32 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=40 velocity=38 time=360
control_change channel=0 control=64 value=0 time=19
control_change channel=0 control=64 value=127 time=38
note_on channel=0 note=40 velocity=0 time=63
note_on channel=0 note=52 velocity=33 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=56 velocity=34 time=0
note_on channel=0 note=56 velocity=0 time=120
note_on channel=0 note=45 velocity=38 time=360
control_change channel=0 control=64 value=0 time=6
control_change channel=0 control=64 value=127 time=45
note_on channel=0 note=45 velocity=0 time=69
note_on channel=0 note=52 velocity=35 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=35 time=0
note_on channel=0 note=57 velocity=0 time=120
control_change channel=0 control=64 value=0 time=34
note_on channel=0 note=45 velocity=38 time=1046
control_change channel=0 control=64 value=127 time=57
note_on channel=0 note=45 velocity=0 time=63
note_on channel=0 note=52 velocity=35 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=34 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=40 velocity=38 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=40 velocity=0 time=51
note_on channel=0 note=52 velocity=37 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=56 velocity=37 time=0
note_on channel=0 note=56 velocity=0 time=120
note_on channel=0 note=45 velocity=38 time=360
control_change channel=0 control=64 value=0 time=18
control_change channel=0 control=64 value=127 time=38
note_on channel=0 note=45 velocity=0 time=64
note_on channel=0 note=52 velocity=32 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=32 time=0
note_on channel=0 note=57 velocity=0 time=120
control_change channel=0 control=64 value=0 time=0
note_on channel=0 note=58 velocity=34 time=0
note_on channel=0 note=60 velocity=34 time=0
note_on channel=0 note=60 velocity=0 time=90
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=57 velocity=34 time=30
note_on channel=0 note=60 velocity=34 time=0
note_on channel=0 note=60 velocity=0 time=90
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=55 velocity=34 time=30
note_on channel=0 note=58 velocity=34 time=0
note_on channel=0 note=60 velocity=34 time=0
note_on channel=0 note=60 velocity=0 time=60
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=55 velocity=0 time=0
control_change channel=0 control=64 value=127 time=38
note_on channel=0 note=53 velocity=44 time=22
note_on channel=0 note=53 velocity=0 time=120
note_on channel=0 note=57 velocity=38 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=60 velocity=36 time=0
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=57 velocity=37 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=60 velocity=37 time=0
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=57 velocity=37 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=53 velocity=44 time=0
control_change channel=0 control=64 value=0 time=14
control_change channel=0 control=64 value=127 time=64
note_on channel=0 note=53 velocity=0 time=42
note_on channel=0 note=58 velocity=38 time=0
note_on channel=0 note=58 velocity=0 time=120
note_on channel=0 note=62 velocity=37 time=0
note_on channel=0 note=62 velocity=0 time=120
note_on channel=0 note=58 velocity=37 time=0
note_on channel=0 note=58 velocity=0 time=120
note_on channel=0 note=62 velocity=37 time=0
note_on channel=0 note=62 velocity=0 time=120
note_on channel=0 note=58 velocity=38 time=0
note_on channel=0 note=58 velocity=0 time=120
note_on channel=0 note=53 velocity=44 time=0
control_change channel=0 control=64 value=0 time=21
control_change channel=0 control=64 value=127 time=29
